Registry Name,ID,Has Item,Class
minecraft:air,0,true,net.minecraft.block.BlockAir
minecraft:stone,1,true,net.minecraft.block.BlockStone
minecraft:grass,2,true,net.minecraft.block.BlockGrass
minecraft:dirt,3,true,net.minecraft.block.BlockDirt
minecraft:cobblestone,4,true,net.minecraft.block.Block
minecraft:planks,5,true,net.minecraft.block.BlockPlanks
minecraft:sapling,6,true,net.minecraft.block.BlockSapling
minecraft:bedrock,7,true,net.minecraft.block.BlockEmptyDrops
minecraft:flowing_water,8,true,net.minecraft.block.BlockDynamicLiquid
minecraft:water,9,true,net.minecraft.block.BlockStaticLiquid
minecraft:flowing_lava,10,true,net.minecraft.block.BlockDynamicLiquid
minecraft:lava,11,true,net.minecraft.block.BlockStaticLiquid
minecraft:sand,12,true,net.minecraft.block.BlockSand
minecraft:gravel,13,true,net.minecraft.block.BlockGravel
minecraft:gold_ore,14,true,net.minecraft.block.BlockOre
minecraft:iron_ore,15,true,net.minecraft.block.BlockOre
minecraft:coal_ore,16,true,net.minecraft.block.BlockOre
minecraft:log,17,true,net.minecraft.block.BlockOldLog
minecraft:leaves,18,true,net.minecraft.block.BlockOldLeaf
minecraft:sponge,19,true,net.minecraft.block.BlockSponge
minecraft:glass,20,true,net.minecraft.block.BlockGlass
minecraft:lapis_ore,21,true,net.minecraft.block.BlockOre
minecraft:lapis_block,22,true,net.minecraft.block.Block
minecraft:dispenser,23,true,net.minecraft.block.BlockDispenser
minecraft:sandstone,24,true,net.minecraft.block.BlockSandStone
minecraft:noteblock,25,true,net.minecraft.block.BlockNote
minecraft:bed,26,true,net.minecraft.block.BlockBed
minecraft:golden_rail,27,true,net.minecraft.block.BlockRailPowered
minecraft:detector_rail,28,true,net.minecraft.block.BlockRailDetector
minecraft:sticky_piston,29,true,net.minecraft.block.BlockPistonBase
minecraft:web,30,true,net.minecraft.block.BlockWeb
minecraft:tallgrass,31,true,net.minecraft.block.BlockTallGrass
minecraft:deadbush,32,true,net.minecraft.block.BlockDeadBush
minecraft:piston,33,true,net.minecraft.block.BlockPistonBase
minecraft:piston_head,34,true,net.minecraft.block.BlockPistonExtension
minecraft:wool,35,true,net.minecraft.block.BlockColored
minecraft:piston_extension,36,true,net.minecraft.block.BlockPistonMoving
minecraft:yellow_flower,37,true,net.minecraft.block.BlockYellowFlower
minecraft:red_flower,38,true,net.minecraft.block.BlockRedFlower
minecraft:brown_mushroom,39,true,net.minecraft.block.BlockMushroom
minecraft:red_mushroom,40,true,net.minecraft.block.BlockMushroom
minecraft:gold_block,41,true,net.minecraft.block.Block
minecraft:iron_block,42,true,net.minecraft.block.Block
minecraft:double_stone_slab,43,true,net.minecraft.block.BlockDoubleStoneSlab
minecraft:stone_slab,44,true,net.minecraft.block.BlockHalfStoneSlab
minecraft:brick_block,45,true,net.minecraft.block.Block
minecraft:tnt,46,true,net.minecraft.block.BlockTNT
minecraft:bookshelf,47,true,net.minecraft.block.BlockBookshelf
minecraft:mossy_cobblestone,48,true,net.minecraft.block.Block
minecraft:obsidian,49,true,net.minecraft.block.BlockObsidian
minecraft:torch,50,true,net.minecraft.block.BlockTorch
minecraft:fire,51,true,net.minecraft.block.BlockFire
minecraft:mob_spawner,52,true,net.minecraft.block.BlockMobSpawner
minecraft:oak_stairs,53,true,net.minecraft.block.BlockStairs
minecraft:chest,54,true,net.minecraft.block.BlockChest
minecraft:redstone_wire,55,true,net.minecraft.block.BlockRedstoneWire
minecraft:diamond_ore,56,true,net.minecraft.block.BlockOre
minecraft:diamond_block,57,true,net.minecraft.block.Block
minecraft:crafting_table,58,true,net.minecraft.block.BlockWorkbench
minecraft:wheat,59,true,net.minecraft.block.BlockCrops
minecraft:farmland,60,true,net.minecraft.block.BlockFarmland
minecraft:furnace,61,true,net.minecraft.block.BlockFurnace
minecraft:lit_furnace,62,true,net.minecraft.block.BlockFurnace
minecraft:standing_sign,63,true,net.minecraft.block.BlockStandingSign
minecraft:wooden_door,64,true,net.minecraft.block.BlockDoor
minecraft:ladder,65,true,net.minecraft.block.BlockLadder
minecraft:rail,66,true,net.minecraft.block.BlockRail
minecraft:stone_stairs,67,true,net.minecraft.block.BlockStairs
minecraft:wall_sign,68,true,net.minecraft.block.BlockWallSign
minecraft:lever,69,true,net.minecraft.block.BlockLever
minecraft:stone_pressure_plate,70,true,net.minecraft.block.BlockPressurePlate
minecraft:iron_door,71,true,net.minecraft.block.BlockDoor
minecraft:wooden_pressure_plate,72,true,net.minecraft.block.BlockPressurePlate
minecraft:redstone_ore,73,true,net.minecraft.block.BlockRedstoneOre
minecraft:lit_redstone_ore,74,true,net.minecraft.block.BlockRedstoneOre
minecraft:unlit_redstone_torch,75,true,net.minecraft.block.BlockRedstoneTorch
minecraft:redstone_torch,76,true,net.minecraft.block.BlockRedstoneTorch
minecraft:stone_button,77,true,net.minecraft.block.BlockButtonStone
minecraft:snow_layer,78,true,net.minecraft.block.BlockSnow
minecraft:ice,79,true,net.minecraft.block.BlockIce
minecraft:snow,80,true,net.minecraft.block.BlockSnowBlock
minecraft:cactus,81,true,net.minecraft.block.BlockCactus
minecraft:clay,82,true,net.minecraft.block.BlockClay
minecraft:reeds,83,true,net.minecraft.block.BlockReed
minecraft:jukebox,84,true,net.minecraft.block.BlockJukebox
minecraft:fence,85,true,net.minecraft.block.BlockFence
minecraft:pumpkin,86,true,net.minecraft.block.BlockPumpkin
minecraft:netherrack,87,true,net.minecraft.block.BlockNetherrack
minecraft:soul_sand,88,true,net.minecraft.block.BlockSoulSand
minecraft:glowstone,89,true,net.minecraft.block.BlockGlowstone
minecraft:portal,90,true,net.minecraft.block.BlockPortal
minecraft:lit_pumpkin,91,true,net.minecraft.block.BlockPumpkin
minecraft:cake,92,true,net.minecraft.block.BlockCake
minecraft:unpowered_repeater,93,true,net.minecraft.block.BlockRedstoneRepeater
minecraft:powered_repeater,94,true,net.minecraft.block.BlockRedstoneRepeater
minecraft:stained_glass,95,true,net.minecraft.block.BlockStainedGlass
minecraft:trapdoor,96,true,net.minecraft.block.BlockTrapDoor
minecraft:monster_egg,97,true,net.minecraft.block.BlockSilverfish
minecraft:stonebrick,98,true,net.minecraft.block.BlockStoneBrick
minecraft:brown_mushroom_block,99,true,net.minecraft.block.BlockHugeMushroom
minecraft:red_mushroom_block,100,true,net.minecraft.block.BlockHugeMushroom
minecraft:iron_bars,101,true,net.minecraft.block.BlockPane
minecraft:glass_pane,102,true,net.minecraft.block.BlockPane
minecraft:melon_block,103,true,net.minecraft.block.BlockMelon
minecraft:pumpkin_stem,104,true,net.minecraft.block.BlockStem
minecraft:melon_stem,105,true,net.minecraft.block.BlockStem
minecraft:vine,106,true,net.minecraft.block.BlockVine
minecraft:fence_gate,107,true,net.minecraft.block.BlockFenceGate
minecraft:brick_stairs,108,true,net.minecraft.block.BlockStairs
minecraft:stone_brick_stairs,109,true,net.minecraft.block.BlockStairs
minecraft:mycelium,110,true,net.minecraft.block.BlockMycelium
minecraft:waterlily,111,true,net.minecraft.block.BlockLilyPad
minecraft:nether_brick,112,true,net.minecraft.block.BlockNetherBrick
minecraft:nether_brick_fence,113,true,net.minecraft.block.BlockFence
minecraft:nether_brick_stairs,114,true,net.minecraft.block.BlockStairs
minecraft:nether_wart,115,true,net.minecraft.block.BlockNetherWart
minecraft:enchanting_table,116,true,net.minecraft.block.BlockEnchantmentTable
minecraft:brewing_stand,117,true,net.minecraft.block.BlockBrewingStand
minecraft:cauldron,118,true,net.minecraft.block.BlockCauldron
minecraft:end_portal,119,true,net.minecraft.block.BlockEndPortal
minecraft:end_portal_frame,120,true,net.minecraft.block.BlockEndPortalFrame
minecraft:end_stone,121,true,net.minecraft.block.Block
minecraft:dragon_egg,122,true,net.minecraft.block.BlockDragonEgg
minecraft:redstone_lamp,123,true,net.minecraft.block.BlockRedstoneLight
minecraft:lit_redstone_lamp,124,true,net.minecraft.block.BlockRedstoneLight
minecraft:double_wooden_slab,125,true,net.minecraft.block.BlockDoubleWoodSlab
minecraft:wooden_slab,126,true,net.minecraft.block.BlockHalfWoodSlab
minecraft:cocoa,127,true,net.minecraft.block.BlockCocoa
minecraft:sandstone_stairs,128,true,net.minecraft.block.BlockStairs
minecraft:emerald_ore,129,true,net.minecraft.block.BlockOre
minecraft:ender_chest,130,true,net.minecraft.block.BlockEnderChest
minecraft:tripwire_hook,131,true,net.minecraft.block.BlockTripWireHook
minecraft:tripwire,132,true,net.minecraft.block.BlockTripWire
minecraft:emerald_block,133,true,net.minecraft.block.Block
minecraft:spruce_stairs,134,true,net.minecraft.block.BlockStairs
minecraft:birch_stairs,135,true,net.minecraft.block.BlockStairs
minecraft:jungle_stairs,136,true,net.minecraft.block.BlockStairs
minecraft:command_block,137,true,net.minecraft.block.BlockCommandBlock
minecraft:beacon,138,true,net.minecraft.block.BlockBeacon
minecraft:cobblestone_wall,139,true,net.minecraft.block.BlockWall
minecraft:flower_pot,140,true,net.minecraft.block.BlockFlowerPot
minecraft:carrots,141,true,net.minecraft.block.BlockCarrot
minecraft:potatoes,142,true,net.minecraft.block.BlockPotato
minecraft:wooden_button,143,true,net.minecraft.block.BlockButtonWood
minecraft:skull,144,true,net.minecraft.block.BlockSkull
minecraft:anvil,145,true,net.minecraft.block.BlockAnvil
minecraft:trapped_chest,146,true,net.minecraft.block.BlockChest
minecraft:light_weighted_pressure_plate,147,true,net.minecraft.block.BlockPressurePlateWeighted
minecraft:heavy_weighted_pressure_plate,148,true,net.minecraft.block.BlockPressurePlateWeighted
minecraft:unpowered_comparator,149,true,net.minecraft.block.BlockRedstoneComparator
minecraft:powered_comparator,150,true,net.minecraft.block.BlockRedstoneComparator
minecraft:daylight_detector,151,true,net.minecraft.block.BlockDaylightDetector
minecraft:redstone_block,152,true,net.minecraft.block.BlockCompressedPowered
minecraft:quartz_ore,153,true,net.minecraft.block.BlockOre
minecraft:hopper,154,true,net.minecraft.block.BlockHopper
minecraft:quartz_block,155,true,net.minecraft.block.BlockQuartz
minecraft:quartz_stairs,156,true,net.minecraft.block.BlockStairs
minecraft:activator_rail,157,true,net.minecraft.block.BlockRailPowered
minecraft:dropper,158,true,net.minecraft.block.BlockDropper
minecraft:stained_hardened_clay,159,true,net.minecraft.block.BlockColored
minecraft:stained_glass_pane,160,true,net.minecraft.block.BlockStainedGlassPane
minecraft:leaves2,161,true,net.minecraft.block.BlockNewLeaf
minecraft:log2,162,true,net.minecraft.block.BlockNewLog
minecraft:acacia_stairs,163,true,net.minecraft.block.BlockStairs
minecraft:dark_oak_stairs,164,true,net.minecraft.block.BlockStairs
minecraft:slime,165,true,net.minecraft.block.BlockSlime
minecraft:barrier,166,true,net.minecraft.block.BlockBarrier
minecraft:iron_trapdoor,167,true,net.minecraft.block.BlockTrapDoor
minecraft:prismarine,168,true,net.minecraft.block.BlockPrismarine
minecraft:sea_lantern,169,true,net.minecraft.block.BlockSeaLantern
minecraft:hay_block,170,true,net.minecraft.block.BlockHay
minecraft:carpet,171,true,net.minecraft.block.BlockCarpet
minecraft:hardened_clay,172,true,net.minecraft.block.BlockHardenedClay
minecraft:coal_block,173,true,net.minecraft.block.Block
minecraft:packed_ice,174,true,net.minecraft.block.BlockPackedIce
minecraft:double_plant,175,true,net.minecraft.block.BlockDoublePlant
minecraft:standing_banner,176,true,net.minecraft.block.BlockBanner.BlockBannerStanding
minecraft:wall_banner,177,true,net.minecraft.block.BlockBanner.BlockBannerHanging
minecraft:daylight_detector_inverted,178,true,net.minecraft.block.BlockDaylightDetector
minecraft:red_sandstone,179,true,net.minecraft.block.BlockRedSandstone
minecraft:red_sandstone_stairs,180,true,net.minecraft.block.BlockStairs
minecraft:double_stone_slab2,181,true,net.minecraft.block.BlockDoubleStoneSlabNew
minecraft:stone_slab2,182,true,net.minecraft.block.BlockHalfStoneSlabNew
minecraft:spruce_fence_gate,183,true,net.minecraft.block.BlockFenceGate
minecraft:birch_fence_gate,184,true,net.minecraft.block.BlockFenceGate
minecraft:jungle_fence_gate,185,true,net.minecraft.block.BlockFenceGate
minecraft:dark_oak_fence_gate,186,true,net.minecraft.block.BlockFenceGate
minecraft:acacia_fence_gate,187,true,net.minecraft.block.BlockFenceGate
minecraft:spruce_fence,188,true,net.minecraft.block.BlockFence
minecraft:birch_fence,189,true,net.minecraft.block.BlockFence
minecraft:jungle_fence,190,true,net.minecraft.block.BlockFence
minecraft:dark_oak_fence,191,true,net.minecraft.block.BlockFence
minecraft:acacia_fence,192,true,net.minecraft.block.BlockFence
minecraft:spruce_door,193,true,net.minecraft.block.BlockDoor
minecraft:birch_door,194,true,net.minecraft.block.BlockDoor
minecraft:jungle_door,195,true,net.minecraft.block.BlockDoor
minecraft:acacia_door,196,true,net.minecraft.block.BlockDoor
minecraft:dark_oak_door,197,true,net.minecraft.block.BlockDoor
minecraft:end_rod,198,true,net.minecraft.block.BlockEndRod
minecraft:chorus_plant,199,true,net.minecraft.block.BlockChorusPlant
minecraft:chorus_flower,200,true,net.minecraft.block.BlockChorusFlower
minecraft:purpur_block,201,true,net.minecraft.block.Block
minecraft:purpur_pillar,202,true,net.minecraft.block.BlockRotatedPillar
minecraft:purpur_stairs,203,true,net.minecraft.block.BlockStairs
minecraft:purpur_double_slab,204,true,net.minecraft.block.BlockPurpurSlab.Double
minecraft:purpur_slab,205,true,net.minecraft.block.BlockPurpurSlab.Half
minecraft:end_bricks,206,true,net.minecraft.block.Block
minecraft:beetroots,207,true,net.minecraft.block.BlockBeetroot
minecraft:grass_path,208,true,net.minecraft.block.BlockGrassPath
minecraft:end_gateway,209,true,net.minecraft.block.BlockEndGateway
minecraft:repeating_command_block,210,true,net.minecraft.block.BlockCommandBlock
minecraft:chain_command_block,211,true,net.minecraft.block.BlockCommandBlock
minecraft:frosted_ice,212,true,net.minecraft.block.BlockFrostedIce
minecraft:magma,213,true,net.minecraft.block.BlockMagma
minecraft:nether_wart_block,214,true,net.minecraft.block.Block
minecraft:red_nether_brick,215,true,net.minecraft.block.BlockNetherBrick
minecraft:bone_block,216,true,net.minecraft.block.BlockBone
minecraft:structure_void,217,true,net.minecraft.block.BlockStructureVoid
minecraft:observer,218,true,net.minecraft.block.BlockObserver
minecraft:white_shulker_box,219,true,net.minecraft.block.BlockShulkerBox
minecraft:orange_shulker_box,220,true,net.minecraft.block.BlockShulkerBox
minecraft:magenta_shulker_box,221,true,net.minecraft.block.BlockShulkerBox
minecraft:light_blue_shulker_box,222,true,net.minecraft.block.BlockShulkerBox
minecraft:yellow_shulker_box,223,true,net.minecraft.block.BlockShulkerBox
minecraft:lime_shulker_box,224,true,net.minecraft.block.BlockShulkerBox
minecraft:pink_shulker_box,225,true,net.minecraft.block.BlockShulkerBox
minecraft:gray_shulker_box,226,true,net.minecraft.block.BlockShulkerBox
minecraft:silver_shulker_box,227,true,net.minecraft.block.BlockShulkerBox
minecraft:cyan_shulker_box,228,true,net.minecraft.block.BlockShulkerBox
minecraft:purple_shulker_box,229,true,net.minecraft.block.BlockShulkerBox
minecraft:blue_shulker_box,230,true,net.minecraft.block.BlockShulkerBox
minecraft:brown_shulker_box,231,true,net.minecraft.block.BlockShulkerBox
minecraft:green_shulker_box,232,true,net.minecraft.block.BlockShulkerBox
minecraft:red_shulker_box,233,true,net.minecraft.block.BlockShulkerBox
minecraft:black_shulker_box,234,true,net.minecraft.block.BlockShulkerBox
bibliocraft:bookcase,235,true,jds.bibliocraft.blocks.BlockBookcase
bibliocraft:bookcasecreative,236,true,jds.bibliocraft.blocks.BlockBookcaseCreative
bibliocraft:shelf,237,true,jds.bibliocraft.blocks.BlockShelf
bibliocraft:markerpole,238,true,jds.bibliocraft.blocks.BlockMarkerPole
bibliocraft:clipboard,239,true,jds.bibliocraft.blocks.BlockClipboard
bibliocraft:lanterngold,240,true,jds.bibliocraft.blocks.BlockLanternGold
bibliocraft:lanterniron,241,true,jds.bibliocraft.blocks.BlockLanternIron
bibliocraft:lampgold,242,true,jds.bibliocraft.blocks.BlockLampGold
bibliocraft:lampiron,243,true,jds.bibliocraft.blocks.BlockLampIron
bibliocraft:furniturepaneler,244,true,jds.bibliocraft.blocks.BlockFurniturePaneler
bibliocraft:framedchest,245,true,jds.bibliocraft.blocks.BlockFramedChest
bibliocraft:fancysign,246,true,jds.bibliocraft.blocks.BlockFancySign
bibliocraft:fancyworkbench,247,true,jds.bibliocraft.blocks.BlockFancyWorkbench
bibliocraft:potionshelf,248,true,jds.bibliocraft.blocks.BlockPotionShelf
bibliocraft:toolrack,249,true,jds.bibliocraft.blocks.BlockToolRack
bibliocraft:label,250,true,jds.bibliocraft.blocks.BlockLabel
bibliocraft:desk,251,true,jds.bibliocraft.blocks.BlockDesk
bibliocraft:table,252,true,jds.bibliocraft.blocks.BlockTable
bibliocraft:seat,253,true,jds.bibliocraft.blocks.BlockSeat
bibliocraft:clock,254,true,jds.bibliocraft.blocks.BlockClock
minecraft:structure_block,255,true,net.minecraft.block.BlockStructure
bibliocraft:case,256,true,jds.bibliocraft.blocks.BlockCase
bibliocraft:mapframe,257,true,jds.bibliocraft.blocks.BlockMapFrame
bibliocraft:paintingframeflat,258,true,jds.bibliocraft.blocks.BlockPaintingFrameFlat
bibliocraft:paintingframesimple,259,true,jds.bibliocraft.blocks.BlockPaintingFrameSimple
bibliocraft:paintingframemiddle,260,true,jds.bibliocraft.blocks.BlockPaintingFrameMiddle
bibliocraft:paintingframefancy,261,true,jds.bibliocraft.blocks.BlockPaintingFrameFancy
bibliocraft:paintingframeborderless,262,true,jds.bibliocraft.blocks.BlockPaintingFrameBorderless
bibliocraft:paintingpress,263,true,jds.bibliocraft.blocks.BlockPaintingPress
bibliocraft:typewriter,264,true,jds.bibliocraft.blocks.BlockTypeWriter
bibliocraft:swordpedestal,265,true,jds.bibliocraft.blocks.BlockSwordPedestal
bibliocraft:armorstand,266,true,jds.bibliocraft.blocks.BlockArmorStand
bibliocraft:bell,267,true,jds.bibliocraft.blocks.BlockBell
bibliocraft:typesettingtable,268,true,jds.bibliocraft.blocks.BlockTypesettingTable
bibliocraft:printingpress,269,true,jds.bibliocraft.blocks.BlockPrintingPress
bibliocraft:cookiejar,270,true,jds.bibliocraft.blocks.BlockCookieJar
bibliocraft:dinnerplate,271,true,jds.bibliocraft.blocks.BlockDinnerPlate
bibliocraft:discrack,272,true,jds.bibliocraft.blocks.BlockDiscRack
buildcraftcore:spring,273,true,buildcraft.core.block.BlockSpring
buildcraftcore:marker_volume,274,true,buildcraft.core.block.BlockMarkerVolume
buildcraftcore:marker_path,275,true,buildcraft.core.block.BlockMarkerPath
buildcraftcore:engine,276,true,buildcraft.core.block.BlockEngine_BC8
buildcraftbuilders:architect,277,true,buildcraft.builders.block.BlockArchitectTable
buildcraftbuilders:builder,278,true,buildcraft.builders.block.BlockBuilder
buildcraftbuilders:filler,279,true,buildcraft.builders.block.BlockFiller
buildcraftbuilders:library,280,true,buildcraft.builders.block.BlockElectronicLibrary
buildcraftbuilders:frame,281,true,buildcraft.builders.block.BlockFrame
buildcraftbuilders:quarry,282,true,buildcraft.builders.block.BlockQuarry
buildcraftenergy:fluid_block_oil_heat_0,283,true,buildcraft.lib.fluid.BCFluidBlock
buildcraftenergy:fluid_block_oil_heat_1,284,true,buildcraft.lib.fluid.BCFluidBlock
buildcraftenergy:fluid_block_oil_heat_2,285,true,buildcraft.lib.fluid.BCFluidBlock
buildcraftenergy:fluid_block_oil_residue_heat_0,286,true,buildcraft.lib.fluid.BCFluidBlock
buildcraftenergy:fluid_block_oil_residue_heat_1,287,true,buildcraft.lib.fluid.BCFluidBlock
buildcraftenergy:fluid_block_oil_residue_heat_2,288,true,buildcraft.lib.fluid.BCFluidBlock
buildcraftenergy:fluid_block_oil_heavy_heat_0,289,true,buildcraft.lib.fluid.BCFluidBlock
buildcraftenergy:fluid_block_oil_heavy_heat_1,290,true,buildcraft.lib.fluid.BCFluidBlock
